,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Predicted Price
45,SpiceJet,24/03/2019,Chennai,Kolkata,MAA → CCU,17:45,20:05,2h 20m,non-stop,No check-in baggage included,28556.0
46,Jet Airways,3/03/2019,Delhi,Cochin,DEL → BOM → COK,19:15,18:50 04 Mar,23h 35m,1 stop,No info,19214.0
47,Air India,3/05/2019,Mumbai,Hyderabad,BOM → HYD,13:55,15:25,1h 30m,non-stop,No info,26427.0
48,Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,22:35 02 Apr,27h 40m,1 stop,No info,20527.0
49,Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,07:30,21:00,13h 30m,1 stop,No info,16767.0
50,Air India,12/05/2019,Kolkata,Banglore,CCU → BOM → COK → BLR,09:25,13:45 13 May,28h 20m,2 stops,No info,19757.0
51,Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,19:50,5h 45m,1 stop,In-flight meal not included,37173.0
52,Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,13:55,16:20 25 Mar,26h 25m,1 stop,No info,16879.0
53,Jet Airways,18/03/2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,11:25,5h 40m,1 stop,No info,10027.0
54,SpiceJet,18/06/2019,Chennai,Kolkata,MAA → CCU,09:45,12:00,2h 15m,non-stop,No info,27160.0
55,Jet Airways,15/04/2019,Banglore,Delhi,BLR → DEL,15:15,18:10,2h 55m,non-stop,No info,28129.0
56,IndiGo,18/05/2019,Delhi,Cochin,DEL → BLR → COK,02:00,07:45,5h 45m,1 stop,No info,25402.0
57,Jet Airways,21/03/2019,Banglore,New Delhi,BLR → BOM → DEL,11:40,19:10,7h 30m,1 stop,In-flight meal not included,11616.0
58,IndiGo,9/06/2019,Delhi,Cochin,DEL → HYD → COK,06:50,12:10,5h 20m,1 stop,No info,26981.0
59,Vistara,6/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,18:50 07 May,25h 50m,1 stop,No info,16520.0
60,Multiple carriers,12/06/2019,Delhi,Cochin,DEL → BOM → COK,06:00,19:15,13h 15m,1 stop,No info,16753.0
61,Air India,9/03/2019,Delhi,Cochin,DEL → HYD → MAA → COK,07:05,09:25 10 Mar,26h 20m,2 stops,No info,20550.0
62,IndiGo,3/04/2019,Delhi,Cochin,DEL → BLR → COK,02:00,07:45,5h 45m,1 stop,No info,25419.0
63,Air Asia,27/06/2019,Delhi,Cochin,DEL → BLR → COK,16:45,22:25,5h 40m,1 stop,No info,21303.0
64,Vistara Premium economy,24/03/2019,Banglore,New Delhi,BLR → DEL,19:40,22:20,2h 40m,non-stop,No info,5410.0
65,IndiGo,9/05/2019,Banglore,Delhi,BLR → DEL,13:00,15:50,2h 50m,non-stop,No info,27380.0
66,IndiGo,6/06/2019,Delhi,Cochin,DEL → MAA → COK,02:00,07:25,5h 25m,1 stop,No info,25814.0
67,Multiple carriers,15/06/2019,Delhi,Cochin,DEL → BOM → COK,03:50,12:35,8h 45m,1 stop,No info,16024.0
68,IndiGo,12/06/2019,Banglore,Delhi,BLR → DEL,21:15,00:15 13 Jun,3h,non-stop,No info,28432.0
69,Jet Airways,21/03/2019,Delhi,Cochin,DEL → BOM → COK,11:30,18:50,7h 20m,1 stop,In-flight meal not included,22635.0
70,IndiGo,18/06/2019,Mumbai,Hyderabad,BOM → HYD,12:00,13:30,1h 30m,non-stop,No info,26279.0
71,Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,21:50,19:00 19 May,21h 10m,1 stop,In-flight meal not included,15834.0
72,Air India,1/04/2019,Kolkata,Banglore,CCU → IXR → BBI → BOM → BLR,05:50,21:50,16h,3 stops,No info,26596.0
73,Air Asia,15/05/2019,Delhi,Cochin,DEL → BLR → COK,07:55,15:45,7h 50m,1 stop,No info,16403.0
74,IndiGo,18/05/2019,Mumbai,Hyderabad,BOM → HYD,09:10,10:40,1h 30m,non-stop,No info,26426.0
75,Jet Airways,21/05/2019,Banglore,Delhi,BLR → DEL,08:20,11:20,3h,non-stop,In-flight meal not included,28568.0
76,SpiceJet,21/06/2019,Banglore,Delhi,BLR → DEL,09:30,12:20,2h 50m,non-stop,No check-in baggage included,27385.0
77,Air India,1/05/2019,Kolkata,Banglore,CCU → DEL → AMD → BLR,10:00,05:25 02 May,19h 25m,2 stops,No info,42787.0
78,Vistara,3/03/2019,Delhi,Cochin,DEL → COK,14:55,17:50,2h 55m,non-stop,No info,28614.0
79,Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,10:05 19 May,14h 5m,1 stop,No info,16566.0
80,IndiGo,24/06/2019,Banglore,Delhi,BLR → DEL,22:10,01:00 25 Jun,2h 50m,non-stop,No info,27610.0
81,Vistara,9/06/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,09:05 10 Jun,16h 5m,1 stop,No info,15782.0
82,GoAir,18/05/2019,Delhi,Cochin,DEL → BOM → COK,07:00,12:55,5h 55m,1 stop,No info,21782.0
83,Air Asia,21/04/2019,Kolkata,Banglore,CCU → BLR,19:55,22:25,2h 30m,non-stop,No info,27808.0
84,Multiple carriers,9/05/2019,Delhi,Cochin,DEL → BOM → COK,15:15,01:30 10 May,10h 15m,1 stop,No info,9836.0
85,Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,11:40,01:30 16 May,13h 50m,1 stop,No info,10044.0
86,SpiceJet,21/03/2019,Chennai,Kolkata,MAA → CCU,08:20,10:35,2h 15m,non-stop,No info,27012.0
87,Jet Airways,15/06/2019,Delhi,Cochin,DEL → BOM → COK,07:05,19:00,11h 55m,1 stop,In-flight meal not included,16518.0
88,SpiceJet,18/04/2019,Kolkata,Banglore,CCU → BLR,17:10,19:40,2h 30m,non-stop,No check-in baggage included,27828.0
89,Jet Airways,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,08:15 10 May,13h 20m,1 stop,No info,15956.0
90,Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,08:15 19 May,18h 10m,1 stop,In-flight meal not included,16447.0
91,Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,18:15 19 May,28h 10m,1 stop,In-flight meal not included,16956.0
92,IndiGo,24/06/2019,Delhi,Cochin,DEL → BOM → COK,16:00,21:00,5h,1 stop,No info,27107.0
93,Air India,1/06/2019,Delhi,Cochin,DEL → BOM → COK,20:00,19:15 02 Jun,23h 15m,1 stop,No info,15138.0
94,Air India,27/06/2019,Mumbai,Hyderabad,BOM → HYD,19:30,20:45,1h 15m,non-stop,No info,26668.0
95,Air India,15/05/2019,Mumbai,Hyderabad,BOM → HYD,06:20,07:40,1h 20m,non-stop,No info,26192.0
96,Jet Airways,15/06/2019,Delhi,Cochin,DEL → BOM → COK,15:00,04:25 16 Jun,13h 25m,1 stop,In-flight meal not included,16659.0
97,Multiple carriers,24/06/2019,Delhi,Cochin,DEL → BOM → COK,13:00,19:15,6h 15m,1 stop,No info,19128.0
98,SpiceJet,24/03/2019,Mumbai,Hyderabad,BOM → HYD,05:45,07:05,1h 20m,non-stop,No info,25965.0
99,Air India,9/05/2019,Kolkata,Banglore,CCU → JAI → BOM → BLR,08:20,18:30,10h 10m,2 stops,No info,20678.0
100,IndiGo,6/03/2019,Delhi,Cochin,DEL → LKO → COK,05:35,10:10,4h 35m,1 stop,No info,28942.0
101,Multiple carriers,21/05/2019,Delhi,Cochin,DEL → BOM → COK,10:00,21:00,11h,1 stop,No info,16695.0
102,Multiple carriers,9/03/2019,Delhi,Cochin,DEL → BOM → COK,17:45,01:35 10 Mar,7h 50m,1 stop,No info,11154.0
103,Multiple carriers,9/05/2019,Delhi,Cochin,DEL → BOM → COK,06:40,19:00,12h 20m,1 stop,No info,16817.0
104,SpiceJet,15/03/2019,Kolkata,Banglore,CCU → BLR,17:15,19:45,2h 30m,non-stop,No info,27768.0
105,Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,10:05 13 Jun,15h 10m,1 stop,No info,16426.0
106,IndiGo,9/05/2019,Mumbai,Hyderabad,BOM → HYD,21:20,22:50,1h 30m,non-stop,No info,26593.0
107,Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,00:45 07 Mar,19h,1 stop,No info,11461.0
108,IndiGo,9/03/2019,Delhi,Cochin,DEL → HYD → MAA → COK,07:35,21:20,13h 45m,2 stops,No info,21691.0
109,Multiple carriers,18/05/2019,Delhi,Cochin,DEL → BOM → COK,06:40,19:00,12h 20m,1 stop,No info,16781.0
110,Multiple carriers,6/03/2019,Delhi,Cochin,DEL → BOM → COK,09:00,18:50,9h 50m,1 stop,No info,21189.0
111,Multiple carriers,6/03/2019,Delhi,Cochin,DEL → BOM → COK,11:30,01:35 07 Mar,14h 5m,1 stop,In-flight meal not included,14264.0
112,SpiceJet,9/06/2019,Kolkata,Banglore,CCU → BLR,06:55,09:30,2h 35m,non-stop,No info,26716.0
113,IndiGo,6/06/2019,Kolkata,Banglore,CCU → MAA → BLR,17:35,22:15,4h 40m,1 stop,No info,30678.0
114,SpiceJet,9/05/2019,Kolkata,Banglore,CCU → IXB → BLR,11:15,18:30,7h 15m,1 stop,No info,21385.0
115,Air India,15/05/2019,Delhi,Cochin,DEL → CCU → BOM → COK,20:15,19:15 16 May,23h,2 stops,No info,18680.0
116,Jet Airways,18/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:00,18:25,10h 25m,1 stop,No info,11902.0
117,IndiGo,15/04/2019,Delhi,Cochin,DEL → BOM → COK,20:25,01:30 16 Apr,5h 5m,1 stop,No info,26004.0
118,Jet Airways,6/03/2019,Delhi,Cochin,DEL → BHO → BOM → COK,05:40,04:25 07 Mar,22h 45m,2 stops,No info,17300.0
119,Multiple carriers,9/04/2019,Delhi,Cochin,DEL → BOM → COK,10:20,19:00,8h 40m,1 stop,No info,16434.0
120,Air India,18/05/2019,Kolkata,Banglore,CCU → GAU → DEL → BLR,16:45,20:25 19 May,27h 40m,2 stops,No info,18189.0
121,Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,22:55,10:25 13 Mar,11h 30m,1 stop,In-flight meal not included,12378.0
122,IndiGo,15/05/2019,Kolkata,Banglore,CCU → BLR,11:30,14:05,2h 35m,non-stop,No info,27436.0
123,Jet Airways,9/05/2019,Banglore,Delhi,BLR → DEL,06:00,08:45,2h 45m,non-stop,No info,26646.0
124,SpiceJet,9/06/2019,Kolkata,Banglore,CCU → MAA → BLR,15:05,20:20,5h 15m,1 stop,No info,28736.0
125,Jet Airways,9/05/2019,Delhi,Cochin,DEL → BOM → COK,20:55,12:35 10 May,15h 40m,1 stop,In-flight meal not included,15505.0
126,IndiGo,9/05/2019,Kolkata,Banglore,CCU → BLR,14:25,16:55,2h 30m,non-stop,No info,27476.0
127,Vistara,1/04/2019,Banglore,Delhi,BLR → DEL,17:00,19:35,2h 35m,non-stop,No info,27919.0
128,IndiGo,18/05/2019,Delhi,Cochin,DEL → HYD → COK,06:50,16:10,9h 20m,1 stop,No info,16677.0
129,IndiGo,3/05/2019,Banglore,Delhi,BLR → DEL,13:00,15:50,2h 50m,non-stop,No info,27381.0
130,Jet Airways,6/03/2019,Delhi,Cochin,DEL → BOM → COK,19:45,04:25 07 Mar,8h 40m,1 stop,In-flight meal not included,17251.0
131,IndiGo,27/06/2019,Delhi,Cochin,DEL → HYD → COK,06:50,12:10,5h 20m,1 stop,No info,26930.0
132,IndiGo,6/05/2019,Delhi,Cochin,DEL → LKO → COK,21:50,03:35 07 May,5h 45m,1 stop,No info,14076.0
133,IndiGo,24/05/2019,Kolkata,Banglore,CCU → BLR,15:15,17:45,2h 30m,non-stop,No info,27782.0
134,Air India,1/04/2019,Banglore,Delhi,BLR → DEL,10:00,12:45,2h 45m,non-stop,No info,28083.0
135,Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,16:20,7h 55m,1 stop,In-flight meal not included,19266.0
136,Air India,1/04/2019,Kolkata,Banglore,CCU → DEL → AMD → BLR,10:00,05:25 02 Apr,19h 25m,2 stops,No info,42870.0
137,SpiceJet,18/06/2019,Banglore,Delhi,BLR → DEL,09:30,12:20,2h 50m,non-stop,No info,27389.0
138,Vistara,21/04/2019,Banglore,Delhi,BLR → DEL,19:30,22:15,2h 45m,non-stop,No info,27747.0
139,Air India,15/03/2019,Banglore,New Delhi,BLR → COK → DEL,22:00,10:50 16 Mar,12h 50m,1 stop,No info,10675.0
140,IndiGo,01/03/2019,Banglore,New Delhi,BLR → DEL,06:00,08:45,2h 45m,non-stop,No info,4692.0
141,Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,22:35 25 Mar,25h 25m,1 stop,No info,16629.0
142,Jet Airways,15/05/2019,Delhi,Cochin,DEL → BOM → COK,02:15,12:35,10h 20m,1 stop,No info,15996.0
143,Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,22:35,8h 30m,1 stop,In-flight meal not included,17149.0
144,IndiGo,09/03/2019,Banglore,New Delhi,BLR → DEL,08:30,11:30,3h,non-stop,No info,6454.0
145,Air India,27/05/2019,Delhi,Cochin,DEL → MAA → COK,20:40,09:25 28 May,12h 45m,1 stop,No info,14642.0
146,IndiGo,18/05/2019,Banglore,Delhi,BLR → DEL,21:15,00:15 19 May,3h,non-stop,No info,28243.0
147,Air India,12/05/2019,Kolkata,Banglore,CCU → BLR,14:15,16:45,2h 30m,non-stop,No info,27454.0
148,Jet Airways,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,04:40 10 Jun,12h 10m,1 stop,In-flight meal not included,19287.0
149,Air India,15/05/2019,Delhi,Cochin,DEL → BLR → COK,09:45,08:15 16 May,22h 30m,1 stop,No info,15463.0
150,Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,16:20,7h 55m,1 stop,No info,16880.0
151,Multiple carriers,3/03/2019,Delhi,Cochin,DEL → HYD → COK,14:35,22:20,7h 45m,1 stop,No info,20229.0
152,Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,14:00,21:00,7h,1 stop,No info,19260.0
153,Jet Airways,24/05/2019,Banglore,Delhi,BLR → DEL,11:10,14:05,2h 55m,non-stop,No info,27603.0
154,SpiceJet,1/06/2019,Kolkata,Banglore,CCU → BLR,17:10,19:40,2h 30m,non-stop,No check-in baggage included,27638.0
155,SpiceJet,21/06/2019,Banglore,Delhi,BLR → DEL,21:10,00:05 22 Jun,2h 55m,non-stop,No info,27812.0
156,IndiGo,15/03/2019,Kolkata,Banglore,CCU → BLR,17:15,19:55,2h 40m,non-stop,No info,27993.0
157,IndiGo,15/06/2019,Banglore,Delhi,BLR → DEL,20:00,22:50,2h 50m,non-stop,No info,27564.0
158,Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,12:00 13 May,21h 55m,1 stop,In-flight meal not included,16456.0
159,Jet Airways,12/05/2019,Mumbai,Hyderabad,BOM → HYD,19:35,21:05,1h 30m,non-stop,In-flight meal not included,26050.0
160,Jet Airways,18/05/2019,Banglore,Delhi,BLR → DEL,19:50,22:50,3h,non-stop,No info,28639.0
161,Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,09:00,15:30,6h 30m,1 stop,No info,21348.0
162,IndiGo,21/05/2019,Banglore,Delhi,BLR → DEL,16:55,19:55,3h,non-stop,No info,27967.0
163,GoAir,18/06/2019,Kolkata,Banglore,CCU → BLR,15:20,17:55,2h 35m,non-stop,No info,27795.0
164,SpiceJet,6/05/2019,Banglore,Delhi,BLR → DEL,09:30,12:20,2h 50m,non-stop,No check-in baggage included,27317.0
165,Air India,27/05/2019,Banglore,Delhi,BLR → DEL,06:10,08:55,2h 45m,non-stop,No info,26778.0
166,Air India,27/05/2019,Delhi,Cochin,DEL → HYD → MAA → COK,07:05,09:25 28 May,26h 20m,2 stops,No info,19778.0
167,SpiceJet,18/03/2019,Kolkata,Banglore,CCU → BLR,22:20,00:40 19 Mar,2h 20m,non-stop,No check-in baggage included,27329.0
168,SpiceJet,1/05/2019,Kolkata,Banglore,CCU → PNQ → BLR,08:35,17:15,8h 40m,1 stop,No info,22439.0
169,IndiGo,9/03/2019,Chennai,Kolkata,MAA → CCU,14:40,17:05,2h 25m,non-stop,No info,28975.0
170,Air India,1/06/2019,Delhi,Cochin,DEL → CCU → BOM → COK,20:15,19:15 02 Jun,23h,2 stops,No info,19557.0
171,Jet Airways,24/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,19:00,9h 20m,2 stops,No info,19900.0
172,IndiGo,03/03/2019,Banglore,New Delhi,BLR → DEL,21:20,00:15 07 Mar,2h 55m,non-stop,No info,5869.0
173,IndiGo,6/04/2019,Banglore,Delhi,BLR → DEL,01:30,04:15,2h 45m,non-stop,No info,27675.0
174,Air India,18/03/2019,Banglore,New Delhi,BLR → BOM → NAG → DEL,08:50,10:35 16 Mar,25h 45m,2 stops,No info,10309.0
175,SpiceJet,3/05/2019,Kolkata,Banglore,CCU → BLR,17:10,19:40,2h 30m,non-stop,No info,27566.0
176,SpiceJet,6/05/2019,Kolkata,Banglore,CCU → MAA → BLR,15:05,20:20,5h 15m,1 stop,No info,29066.0
177,Air India,24/03/2019,Kolkata,Banglore,CCU → BBI → BOM → BLR,09:10,18:30 25 Mar,33h 20m,2 stops,No info,17683.0
178,Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,09:55,01:35 28 Mar,15h 40m,1 stop,No info,10510.0
179,Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,10:05 19 May,14h 5m,1 stop,In-flight meal not included,16566.0
180,Air India,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,09:25,21:50,12h 25m,1 stop,No info,17875.0
181,IndiGo,3/05/2019,Mumbai,Hyderabad,BOM → HYD,19:05,20:35,1h 30m,non-stop,No info,26560.0
182,SpiceJet,24/06/2019,Kolkata,Banglore,CCU → BLR,22:20,00:40 25 Jun,2h 20m,non-stop,No info,27303.0
183,Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:55,20:20,11h 25m,1 stop,No info,14156.0
184,Multiple carriers,6/05/2019,Delhi,Cochin,DEL → BOM → COK,09:00,19:15,10h 15m,1 stop,No info,16754.0
185,Vistara,03/03/2019,Banglore,New Delhi,BLR → AMD → DEL,06:40,21:55,15h 15m,1 stop,No info,13602.0
186,Jet Airways,9/06/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,10:55 10 Jun,14h 30m,1 stop,No info,16640.0
187,Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,17:30,01:30 04 Jun,8h,1 stop,No info,12013.0
188,Air Asia,21/04/2019,Delhi,Cochin,DEL → BLR → COK,07:55,15:45,7h 50m,1 stop,No info,16145.0
189,SpiceJet,27/06/2019,Kolkata,Banglore,CCU → BLR,22:20,00:40 28 Jun,2h 20m,non-stop,No check-in baggage included,27303.0
190,Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,08:00,21:00,13h,1 stop,No info,16562.0
191,Vistara,6/03/2019,Mumbai,Hyderabad,BOM → DEL → HYD,20:55,09:25 07 Mar,12h 30m,1 stop,No info,21879.0
192,SpiceJet,27/05/2019,Mumbai,Hyderabad,BOM → HYD,13:15,14:45,1h 30m,non-stop,No info,25972.0
193,Multiple carriers,12/06/2019,Delhi,Cochin,DEL → BOM → COK,10:20,21:00,10h 40m,1 stop,No info,16731.0
194,Air India,6/06/2019,Delhi,Cochin,DEL → GOI → BOM → COK,22:00,19:15 07 Jun,21h 15m,2 stops,No info,18790.0
195,IndiGo,21/05/2019,Chennai,Kolkata,MAA → CCU,11:35,14:00,2h 25m,non-stop,No info,27531.0
196,Air India,6/06/2019,Kolkata,Banglore,CCU → JAI → BOM → BLR,08:20,11:10 07 Jun,26h 50m,2 stops,No info,19901.0
197,Air India,21/05/2019,Delhi,Cochin,DEL → BLR → COK,06:10,23:00,16h 50m,1 stop,No info,16072.0
198,Jet Airways,27/04/2019,Banglore,Delhi,BLR → DEL,06:00,08:45,2h 45m,non-stop,No info,26695.0
199,Air India,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,09:25,18:30,9h 5m,1 stop,No info,22263.0
200,Jet Airways,21/05/2019,Delhi,Cochin,DEL → BOM → COK,18:15,04:25 22 May,10h 10m,1 stop,In-flight meal not included,16620.0
201,Jet Airways,1/06/2019,Delhi,Cochin,DEL → BOM → COK,02:15,19:00,16h 45m,1 stop,No info,16301.0
202,Air India,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,09:25,07:55 25 Mar,22h 30m,1 stop,No info,16221.0
203,SpiceJet,21/05/2019,Chennai,Kolkata,MAA → CCU,09:45,12:00,2h 15m,non-stop,No info,27053.0
204,IndiGo,21/03/2019,Delhi,Cochin,DEL → HYD → COK,04:55,16:10,11h 15m,1 stop,No info,19226.0
205,SpiceJet,9/06/2019,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,non-stop,No check-in baggage included,26756.0
206,Jet Airways,21/03/2019,Delhi,Cochin,DEL → BOM → COK,09:00,04:25 22 Mar,19h 25m,1 stop,In-flight meal not included,16218.0
207,Jet Airways,12/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,04:25 13 Jun,22h 55m,2 stops,No info,16175.0
